# Copyright (c) 1993-2009 Microsoft Corp.
#
# This is a sample HOSTS file used by Microsoft TCP/IP for Windows.
# This file contains the mappings of IP addresses to host names. Each
# entry should be kept on an individual line. The IP address should
# be placed in the first column followed by the corresponding host name.
# The IP address and the host name should be separated by at least one
# space.
# Additionally, comments (such as these) may be inserted on individual
# lines or following the machine name denoted by a '#' symbol.
# For example:
#      102.54.94.97     rhino.acme.com          # source server
#       38.25.63.10     x.acme.com              # x client host
# localhost name resolution is handled within DNS itself.
#	127.0.0.1       localhost
#	::1             localhost
#JW8013    ads-hosts.txt
#version=20220309
#*********************************************************
#FUCKMAKD  Start#
127.0.0.1 www.makeding.com
127.0.0.1 makeding.com
127.0.0.1 vm.makeding.com
127.0.0.1 www.bingdianhuanyuan.cn
127.0.0.1 xia.bingdianhuanyuan.cn
127.0.0.1 bingdianhuanyuan.cn
127.0.0.1 huishenghuiying.com.cn
127.0.0.1 www.huishenghuiying.com.cn
127.0.0.1 xia.huishenghuiying.com.cn
127.0.0.1 coreldrawchina.com
127.0.0.1 xia.coreldrawchina.com
127.0.0.1 www.coreldrawchina.com
127.0.0.1 shankejingling.com
127.0.0.1 www.shankejingling.com
127.0.0.1 xia.shankejingling.com
127.0.0.1 mairuan.com
127.0.0.1 www.mairuan.com
127.0.0.1 xia.mairuan.com
127.0.0.1 logoshejishi.com
127.0.0.1 www.logoshejishi.com
127.0.0.1 xia.logoshejishi.com
127.0.0.1 keyshot.cc
127.0.0.1 xia.keyshot.cc
127.0.0.1 www.keyshot.cc
127.0.0.1 flstudiochina.com
127.0.0.1 www.flstudiochina.com
127.0.0.1 xia.flstudiochina.com
127.0.0.1 ediuschina.com
127.0.0.1 www.ediuschina.com
127.0.0.1 xia.ediuschina.com
127.0.0.1 vegaschina.cn
127.0.0.1 www.vegaschina.cn
127.0.0.1 xia.vegaschina.cn
127.0.0.1 guitarpro.cc
127.0.0.1 www.guitarpro.cc
127.0.0.1 xia.guitarpro.cc
127.0.0.1 www.xmindchina.cn
127.0.0.1 xia.xmindchina.cn
127.0.0.1 xmindchina.cn
127.0.0.1 xmindchina.net
127.0.0.1 www.xmindchina.net
127.0.0.1 xia.xmindchina.net
127.0.0.1 mindmanager.cc
127.0.0.1 www.mindmanager.cc
127.0.0.1 xia.mindmanager.cc
127.0.0.1 kingdeecn.cn
127.0.0.1 www.kingdeecn.cn
127.0.0.1 xia.kingdeecn.cn
127.0.0.1 xshellcn.com
127.0.0.1 www.xshellcn.com
127.0.0.1 xia.xshellcn.com
127.0.0.1 imindmap.cc
127.0.0.1 www.imindmap.cc
127.0.0.1 xia.imindmap.cc
127.0.0.1 abbyychina.com
127.0.0.1 www.abbyychina.com
127.0.0.1 xia.abbyychina.com
127.0.0.1 bartender.cc
127.0.0.1 www.bartender.cc
127.0.0.1 xia.bartender.cc
127.0.0.1 jihehuaban.com.cn
127.0.0.1 www.jihehuaban.com.cn
127.0.0.1 xia.jihehuaban.com.cn
127.0.0.1 mathtype.cn
127.0.0.1 www.mathtype.cn
127.0.0.1 xia.mathtype.cn
127.0.0.1 chemdraw.com.cn
127.0.0.1 www.chemdraw.com.cn
127.0.0.1 xia.chemdraw.com.cn
127.0.0.1 mycleanmymac.com
127.0.0.1 www.mycleanmymac.com
127.0.0.1 xia.mycleanmymac.com
127.0.0.1 ntfsformac.cn
127.0.0.1 www.ntfsformac.cn
127.0.0.1 xia.ntfsformac.cn
127.0.0.1 parallelsdesktop.cn
127.0.0.1 www.parallelsdesktop.cn
127.0.0.1 xia.parallelsdesktop.cn
127.0.0.1 beyondcompare.cc
127.0.0.1 www.beyondcompare.cc
127.0.0.1 xia.beyondcompare.cc
127.0.0.1 easyrecoverychina.com
127.0.0.1 www.easyrecoverychina.com
127.0.0.1 xia.easyrecoverychina.com
127.0.0.1 hypersnap.mairuan.com
127.0.0.1 www.iconworkshop.cn
127.0.0.1 iconworkshop.cn
127.0.0.1 www.pdfexpert.cc
127.0.0.1 xiazai.pdfexpert.cc
127.0.0.1 www.zhzzx.com
127.0.0.1 yihuifu.cn
127.0.0.1 www.4009997658.com
127.0.0.1 4009997658.com
127.0.0.1 mairuanwang.com
127.0.0.1 www.mairuanwang.com
127.0.0.1 mairuan.cn
127.0.0.1 mairuan.net
127.0.0.1 mairuan.com.cn
127.0.0.1 www.idmchina.net
127.0.0.1 idmchina.net
#FUCKMAKD  End#
#去乐播投屏电视端广告 Start#
127.0.0.1 sdkauth.hpplay.cn
127.0.0.1 adeng.hpplay.cn
127.0.0.1 ad.hpplay.cn
127.0.0.1 conf.hpplay.cn
127.0.0.1 fix.hpplay.cn
127.0.0.1 adcdn.hpplay.cn
127.0.0.1 sl.hpplay.cn
127.0.0.1 rp.hpplay.cn
127.0.0.1 logrp.hpplay.cn
#去乐播投屏电视端广告 End#
#Maxthon Start#
127.0.0.1 push.sync.maxthon.cn 
127.0.0.1 www.cnzz.com 
127.0.0.1 tongji.baidu.com 
127.0.0.1 doc.cnzz.com 
127.0.0.1 datacn-dl.maxthon.com 
127.0.0.1 data-dl.maxthon.com 
127.0.0.1 svrinfo.maxthon.cn 
127.0.0.1 statcn-c.maxthon.com 
127.0.0.1 avatar.mx3.maxthon.cn 
127.0.0.1 smarturl-up.maxthon.com 
127.0.0.1 adspeedshare.maxthon.com 
127.0.0.1 push-s.maxthon.com 
127.0.0.1 svrinfo.maxthon.com 
127.0.0.1 dl.maxthon.com 
127.0.0.1 stat-c.maxthon.com 
127.0.0.1 safeurl.maxthon.cn 
127.0.0.1 msg.maxthon.cn 
127.0.0.1 kernel-c.maxthon.com 
127.0.0.1 smarturlcn-up.maxthon.com 
127.0.0.1 kernel-c.maxthon.cn 
127.0.0.1 sd.symcd.com 
127.0.0.1 quickaccess-dl.maxthon.cn 
127.0.0.1 quickaccess-apiimg.maxthon.cn 
